SoC,R0,R1,R2,C1,C2,Tau1,Tau2,A1,A2
52.248,0.06042311405634404,0.03940279191589827,0.027691183609702057,619.6128771866148,7395.583271716683,23.306345325244134,222.1273247351627,0.39913324657338467,0.31804378704723424
52.249,0.06042240302477094,0.0394029369102703,0.027691239733634732,619.6121074183505,7395.538753582576,23.306412029656247,222.12783520982373,0.3991344138109248,0.31804375109747507
52.25,0.060421691953582074,0.039403081944494565,0.027691295961873398,619.6113373576196,7395.494227840482,23.30647876301494,222.1283459046129,0.3991355808668662,0.31804371518883917
52.251,0.06042098084278599,0.03940322701856862,0.027691352294417614,619.610567004422,7395.449694490402,23.306545525319258,222.12885681952102,0.39913674774118685,0.31804367932132444
52.252,0.06042026969239126,0.03940337213249001,0.027691408731266933,619.6097963587576,7395.405153532335,23.306612316568238,222.12936795453885,0.39913791443386476,0.31804364349492853
52.253,0.060419558502406434,0.03940351728625631,0.02769146527242091,619.6090254206266,7395.360604966281,23.306679136760923,222.12987930965724,0.39913908094487793,0.31804360770964935
52.254,0.06041884727284008,0.039403662479865056,0.0276915219178791,619.6082541900288,7395.316048792241,23.30674598589635,222.1303908848669,0.39914024727420433,0.31804357196548466
52.255,0.06041813600370076,0.03940380771331382,0.027691578667641048,619.6074826669642,7395.271485010215,23.306812863973555,222.13090268015867,0.399141413421822,0.3180435362624322
52.256,0.060417424694997036,0.039403952986600134,0.027691635521706313,619.6067108514329,7395.226913620202,23.306879770991575,222.13141469552326,0.399142579387709,0.31804350060048986
52.257,0.060416713346737476,0.03940409829972157,0.02769169248007444,619.605938743435,7395.182334622203,23.306946706949454,222.1319269309515,0.3991437451718432,0.3180434649796553
52.258,0.06041600195893063,0.03940424365267568,0.02769174954274498,619.6051663429702,7395.137748016216,23.307013671846224,222.13243938643413,0.39914491077420267,0.3180434293999264
52.259,0.060415290531585085,0.03940438904546001,0.027691806709717486,619.6043936500388,7395.093153802243,23.307080665680925,222.1329520619619,0.3991460761947654,0.318043393861301
52.26,0.0604145790647094,0.039404534478072115,0.027691863980991497,619.6036206646406,7395.048551980284,23.30714768845259,222.1334649575256,0.3991472414335093,0.31804335836377673
52.261,0.060413867558312136,0.03940467995050954,0.02769192135656657,619.6028473867757,7395.003942550338,23.30721474016026,222.13397807311597,0.3991484064904125,0.31804332290735154
52.262,0.06041315601240188,0.03940482546276984,0.02769197883644224,619.6020738164441,7394.959325512406,23.307281820802963,222.13449140872373,0.3991495713654529,0.31804328749202315
52.263,0.060412444426987184,0.03940497101485057,0.027692036420618064,619.6012999536457,7394.914700866488,23.307348930379735,222.13500496433966,0.3991507360586086,0.31804325211778933
52.264,0.06041173280207662,0.03940511660674928,0.027692094109093582,619.6005257983807,7394.870068612582,23.30741606888962,222.1355187399545,0.39915190056985755,0.31804321678464786
52.265,0.06041102113767877,0.03940526223846351,0.027692151901868335,619.5997513506488,7394.825428750691,23.30748323633164,222.13603273555898,0.3991530648991777,0.3180431814925966
52.266,0.060410309433802205,0.03940540790999081,0.02769220979894187,619.5989766104503,7394.780781280812,23.307550432704836,222.13654695114383,0.39915422904654707,0.3180431462416333
52.267,0.060409597690455494,0.03940555362132874,0.027692267800313728,619.5982015777851,7394.736126202946,23.30761765800824,222.1370613866998,0.3991553930119437,0.31804311103175575
52.268,0.06040888590764721,0.03940569937247484,0.027692325905983445,619.5974262526531,7394.691463517095,23.307684912240884,222.13757604221757,0.3991565567953455,0.31804307586296177
52.269,0.060408174085385936,0.039405845163426656,0.02769238411595057,619.5966506350544,7394.646793223257,23.3077521954018,222.1380909176879,0.3991577203967306,0.31804304073524914
52.27,0.060407462223680236,0.03940599099418174,0.027692442430214636,619.595874724989,7394.602115321432,23.307819507490024,222.1386060131015,0.3991588838160769,0.3180430056486156
52.271,0.0604067503225387,0.03940613686473763,0.027692500848775184,619.5950985224569,7394.557429811622,23.30788684850458,222.13912132844908,0.3991600470533624,0.31804297060305897
52.272,0.0604060383819699,0.03940628277509188,0.027692559371631755,619.594322027458,7394.512736693824,23.307954218444504,222.13963686372134,0.3991612101085651,0.31804293559857705
52.273,0.060405326401982415,0.03940642872524204,0.02769261799878388,619.5935452399924,7394.46803596804,23.308021617308828,222.140152618909,0.39916237298166307,0.31804290063516766
52.274,0.060404614382584834,0.03940657471518565,0.0276926767302311,619.5927681600601,7394.423327634268,23.30808904509658,222.14066859400276,0.3991635356726342,0.3180428657128285
52.275,0.06040390232378572,0.03940672074492024,0.02769273556597295,619.5919907876611,7394.378611692511,23.30815650180679,222.1411847889933,0.39916469818145656,0.3180428308315575
52.276,0.060403190225593664,0.03940686681444337,0.02769279450600896,619.5912131227952,7394.333888142767,23.308223987438485,222.14170120387132,0.39916586050810815,0.3180427959913523
52.277,0.06040247808801726,0.03940701292375259,0.027692853550338667,619.5904351654627,7394.289156985037,23.3082915019907,222.14221783862752,0.3991670226525669,0.3180427611922108
52.278,0.060401765911065074,0.03940715907284543,0.027692912698961604,619.5896569156636,7394.24441821932,23.30835904546246,222.14273469325258,0.3991681846148109,0.31804272643413073
52.279,0.0604010536947457,0.039407305261719434,0.027692971951877306,619.5888783733976,7394.199671845617,23.308426617852792,222.14325176773715,0.3991693463948181,0.3180426917171099
52.28,0.06040034143906772,0.03940745149037215,0.0276930313090853,619.5880995386649,7394.154917863926,23.308494219160725,222.14376906207195,0.39917050799256654,0.31804265704114615
52.281,0.06039962914403973,0.039407597758801115,0.027693090770585117,619.5873204114655,7394.11015627425,23.30856184938529,222.14428657624765,0.3991716694080341,0.31804262240623715
52.282,0.0603989168096703,0.03940774406700387,0.027693150336376288,619.5865409917994,7394.065387076586,23.308629508525506,222.14480431025487,0.3991728306411989,0.3180425878123808
52.283,0.06039820443596802,0.039407890414977956,0.02769321000645834,619.5857612796666,7394.020610270937,23.308697196580408,222.14532226408434,0.3991739916920389,0.31804255325957487
52.284,0.0603974920229415,0.03940803680272092,0.027693269780830802,619.584981275067,7393.975825857301,23.308764913549016,222.14584043772666,0.39917515256053204,0.3180425187478171
52.285,0.060396779570599315,0.039408183230230286,0.027693329659493202,619.5842009780007,7393.931033835678,23.308832659430355,222.14635883117253,0.39917631324665637,0.3180424842771053
52.286,0.060396067078950046,0.03940832969750361,0.027693389642445065,619.5834203884676,7393.886234206068,23.308900434223457,222.14687744441255,0.3991774737503899,0.3180424498474373
52.287,0.06039535454800231,0.03940847620453842,0.027693449729685914,619.5826395064679,7393.841426968473,23.30896823792734,222.14739627743742,0.39917863407171067,0.31804241545881085
52.288,0.06039464197776468,0.03940862275133226,0.02769350992121528,619.5818583320015,7393.796612122891,23.30903607054103,222.1479153302378,0.3991797942105966,0.3180423811112238
52.289,0.06039392936824575,0.03940876933788266,0.02769357021703268,619.5810768650682,7393.751789669322,23.309103932063554,222.14843460280423,0.39918095416702565,0.31804234680467386
52.29,0.060393216719454135,0.03940891596418717,0.02769363061713764,619.5802951056684,7393.706959607766,23.30917182249393,222.14895409512744,0.3991821139409759,0.3180423125391588
52.291,0.060392504031398404,0.03940906263024332,0.027693691121529685,619.5795130538017,7393.662121938224,23.309239741831185,222.14947380719804,0.39918327353242533,0.3180422783146766
